id_Estab,razon.social,nombre.sucursal,direccion,ccz,barrio,cajas,cadena,long,lat,ciudad,depto,id.depto,localidad,lat_rad,lon_rad,secc,test
1,CAFITUR S.A.,Expres 2,AVDA. MILLAN 2683,16.0,Reducto,2.0,Sin Cadena,-34.8765665,-56.1897221,Montevideo,Montevideo,1.0,1020.0,-0.9806956564256224,-0.608710917215755,,
2,Distren S.A.,Expres 6,Conciliaci�n 3910,14.0,La Teja,3.0,Sin Cadena,-34.86483197,-56.22046689,Montevideo,Montevideo,1.0,1020.0,-0.9812322542389567,-0.6085061110310809,,
3,Distren S.A.,Expres 7,Carlos Maria Ramirez 186,14.0,Belvedere,3.0,Sin Cadena,-34.8608486,-56.2270262,Montevideo,Montevideo,1.0,1020.0,-0.9813467357951157,-0.6084365881092556,,
4,Distren S.A.,Expres 1,Dr. Mart�n Berinduague 870,14.0,La Teja,5.0,Sin Cadena,-34.86902142,-56.23155956,Montevideo,Montevideo,1.0,1020.0,-0.981425857853294,-0.6085792307274286,,
5,Daltiro S.A.,El Clon - Comercio,Avda. 8 de Octubre 3631,6.0,Unión,3.0,El Clon,-34.876518,-56.1456047,Montevideo,Montevideo,1.0,1020.0,-0.9799256625382031,-0.6087100707310676,,
6,Gadonur S.A.,El Clon - Gaboto,Avda. 18 de Julio 1751,2.0,Cordón,3.0,El Clon,-34.9027945,-56.1806478,Montevideo,Montevideo,1.0,1020.0,-0.9805372800133088,-0.609168682171968,7.0,False
7,DALTIRO S.A.,El Clon - Viana,8 DE OCTUBRE 3722,6.0,Unión,3.0,El Clon,-34.875543,-56.143307,Montevideo,Montevideo,1.0,1020.0,-0.9798855601079801,-0.6086930537708608,,
8,NAFITAL S.A.,El Clon - Vazquez,VAZQUEZ 1388,2.0,Cordón,3.0,El Clon,-34.9051578,-56.1853576,Montevideo,Montevideo,1.0,1020.0,-0.9806194815304192,-0.6092099295381803,6.0,False
9,Satil�n S.A.,El Clon - Paso Molino,Avda. Agraciada 4132,14.0,Paso Molino,3.0,El Clon,-34.8576189,-56.2204897,Montevideo,Montevideo,1.0,1020.0,-0.9812326523485592,-0.608380219210404,,
10,DALTIRO S.A.,El Clon - Palacio ,GRAL. FLORES 2075,3.0,Aguada,3.0,El Clon,-34.8896264,-56.189078,Montevideo,Montevideo,1.0,1020.0,-0.9806844147599104,-0.6089388554707361,,
11,SATILAN S.A.,El Clon - Las Piedras ,AV.ARTIGAS 699,,Interior,4.0,El Clon,-34.7261696,-56.2157332,Las Piedras,Canelones,3.0,3221.0,-0.981149635762688,-0.6060859961259623,,
12,DALTIRO S.A.,El Clon - Cerro ,CARLOS MA. RAMIREZ 1659,17.0,Cerro ,5.0,El Clon,-34.8741386,-56.2528854,Montevideo,Montevideo,1.0,1020.0,-0.9817980639770474,-0.6086685423668458,13.0,False
13,DALTIRO S.A.,El Clon - Requena ,18 DE JULIO 2075,2.0,Cordón,6.0,El Clon,-34.8996132,-56.1726323,Montevideo,Montevideo,1.0,1020.0,-0.9803973831471151,-0.6091131580124742,,
14,Landera S.A.,El Clon - Maldonado ,Roman Guerra s/n y 25 de Mayo,,Interior,8.0,El Clon,-34.92489,-54.9631206,Maldonado,Maldonado,10.0,10320.0,-0.9592874216407213,-0.6095543213968424,,
15,Devoto Hermanos S.A.,Devoto - SAN MARTIN,Avda. Gral. San Mart�n 3709,15.0,Cerrito,4.0,Devoto,-34.8568464,-56.1776328,Montevideo,Montevideo,1.0,1020.0,-0.9804846583363611,-0.6083667365419324,,
16,Supermercados Disco del Uruguay S.A.,Disco - OBLIGADO,Obligado 968,5.0,Pocitos,4.0,Disco,-34.91329641,-56.16001434,Montevideo,Montevideo,1.0,1020.0,-0.9801771582002301,-0.6093519750792161,,
17,Devoto Hermanos S.A.,Devoto - SUAREZ,Avda. Joaqu�n Su�rez 3458,15.0,Prado ,5.0,Devoto,-34.86447251,-56.1958846,Montevideo,Montevideo,1.0,1020.0,-0.9808032123407766,-0.6084998372705517,,
18,Devoto Hermanos S.A.,Devoto - BRISAS,Avda. Gral. Rivera 4502,7.0,Malvín,5.0,Devoto,-34.89323573,-56.11592848,Montevideo,Montevideo,1.0,1020.0,-0.9794077147896569,-0.6090018501630271,,
19,Supermercados Disco del Uruguay S.A.,Disco - FERNANDEZ CRESPO,Avda. Daniel Fern�ndez Crespo 1727,2.0,Cordón,5.0,Disco,-34.89896665,-56.17763679,Montevideo,Montevideo,1.0,1020.0,-0.9804847279749983,-0.6091018735861955,,
20,Devoto Hermanos S.A.,Devoto - SHANGRILA,Avda. Calcagno s/n,,Interior,6.0,Devoto,-34.84985469,-55.9997063,Ciudad de la Costa,Canelones,3.0,3831.0,-0.9773792550848114,-0.6082447081820878,,
21,Devoto Hermanos S.A.,Devoto - LAS PIEDRAS,Juan A. Lavalleja 671,,Interior,6.0,Devoto,-34.7287524,-56.21701027,Las Piedras,Canelones,3.0,3221.0,-0.9811719248389664,-0.6061310744898827,,
22,Devoto Hermanos S.A.,Devoto - GRAL.PAZ,Avda. Gral. Jos� Mar�a Paz 1404,7.0,Punta Gorda,6.0,Devoto,-34.8937242,-56.0821618,Montevideo,Montevideo,1.0,1020.0,-0.9788183750461896,-0.6090103755728243,,
23,Supermercados Disco del Uruguay S.A.,Disco - CANELONES,Florencio S�nchez 729,,Interior,7.0,Disco,-34.5215452,-56.2814063,Canelones,Canelones,3.0,3320.0,-0.9822958475876795,-0.6025146266160444,,
24,Devoto Hermanos S.A.,Devoto - COLON,Avda. Garz�n 1945,12.0,Col�n ,7.0,Devoto,-34.8050739,-56.224982,Montevideo,Montevideo,1.0,1020.0,-0.9813110577745464,-0.6074631359549436,,
25,Supermercados Disco del Uruguay S.A.,Disco - MARCELINO SOSA,Cnel. Marcelino Sosa 2706,3.0,Reducto,7.0,Disco,-34.87772607,-56.18114769,Montevideo,Montevideo,1.0,1020.0,-0.9805460047397067,-0.6087311555301623,,
26,Devoto Hermanos S.A.,Devoto - CARRASCO,Avda. Bolivia 1413,8.0,Carrasco,7.0,Devoto,-34.89318783,-56.06646145,Montevideo,Montevideo,1.0,1020.0,-0.9785443522449742,-0.6090010141503155,,
27,Supermercados Disco del Uruguay S.A.,Disco - AYACUCHO,Ayacucho 3370,4.0,Parque Batlle,7.0,Disco,-34.89437326,-56.14469715,Montevideo,Montevideo,1.0,1020.0,-0.9799098228025767,-0.6090217038068674,,
28,Devoto Hermanos S.A.,Devoto - LAS PIEDRAS II,Enrique Pouey N� 624,,Interior,8.0,Devoto,-34.72813293,-56.22377773,Las Piedras,Canelones,3.0,3221.0,-0.9812900392979634,-0.6061202626987655,,
29,Supermercados Disco del Uruguay S.A.,Disco - CAMINO MALDONADO,Avda. Brig. Gral. Lavalleja 7722,9.0,Punta de Rieles ,8.0,Disco,-34.80409052,-56.08900423,Montevideo,Montevideo,1.0,1020.0,-0.9789377979785269,-0.6074459727361454,,
30,Supermercados Disco del Uruguay S.A.,Disco - BARRIOS AMORIN,Dr. Javier Barrios Amor�n 859,2.0,Palermo,8.0,Disco,-34.91423613,-56.18385608,Montevideo,Montevideo,1.0,1020.0,-0.9805932750626346,-0.6093683762872629,5.0,False
31,Devoto Hermanos S.A.,Devoto - 8 DE OCTUBRE,Avda. 8 de Octubre 3621,6.0,Unión,9.0,Devoto,-34.87670222,-56.14369868,Montevideo,Montevideo,1.0,1020.0,-0.9798923962135943,-0.6087132859766157,,
32,Supermercados Disco del Uruguay S.A.,Disco - SOLANO LOPEZ,Avda. Mcal. Francisco Solano L�pez 1680,7.0,Buceo,9.0,Disco,-34.89184451,-56.12514287,Montevideo,Montevideo,1.0,1020.0,-0.9795685362337198,-0.6089775687934075,,
33,Devoto Hermanos S.A.,Devoto - RAMBLA,"Rbla. de los Argentinos esq, Santiago V�squez",,Interior,9.0,Devoto,-34.8564118,-55.29201897,Piri�polis,Maldonado,10.0,10523.0,-0.9650277811016638,-0.6083591513410032,,
34,Supermercados Disco del Uruguay S.A.,Disco - MEDANOS,Avda. Ing. Luis Giannattasio Km. 27.500,,Interior,10.0,Disco,-34.80727807,-55.93165618,Ciudad de la Costa,Canelones,3.0,3831.0,-0.9761915564344341,-0.6075016059787174,,
35,Supermercados Disco del Uruguay S.A.,Disco - CURVA DE MARO�AS,Avda. 8 de Octubre 4786,9.0,Maro�as,10.0,Disco,-34.85719975,-56.13298373,Montevideo,Montevideo,1.0,1020.0,-0.9797053850569077,-0.6083729036628444,,
